"Config Data Explorer","Config Data Explorer"
"Allow Encrypted Value Reveal (REST)","Allow Encrypted Value Reveal (REST)"
"Reveal Encrypted Config Values (REST)","Reveal Encrypted Config Values (REST)"
"Path","Path"
"Scope","Scope"
"Scope ID","Scope ID"
"Value","Value"
"Encrypted","Encrypted"
"Revealing encrypted configuration values is disabled for this installation.","Revealing encrypted configuration values is disabled for this installation."
"You are not allowed to reveal encrypted configuration values.","You are not allowed to reveal encrypted configuration values."
